IP address,Port,TLS,Data Center,Region,City,Network Latency,Download Speed
8.222.231.65,443,true,AMS,Europe,Amsterdam,40 ms,4270 kB/s
8.219.178.222,443,true,AMS,Europe,Amsterdam,13 ms,4263 kB/s
8.219.192.189,443,true,AMS,Europe,Amsterdam,14 ms,4251 kB/s
8.219.132.118,443,true,AMS,Europe,Amsterdam,43 ms,4222 kB/s
8.218.135.92,443,true,AMS,Europe,Amsterdam,18 ms,4218 kB/s
8.219.152.149,443,true,AMS,Europe,Amsterdam,43 ms,4204 kB/s
8.222.217.207,443,true,AMS,Europe,Amsterdam,13 ms,4196 kB/s
8.222.152.249,443,true,AMS,Europe,Amsterdam,45 ms,4167 kB/s
8.219.153.250,443,true,AMS,Europe,Amsterdam,18 ms,4153 kB/s
8.219.80.71,443,true,AMS,Europe,Amsterdam,52 ms,4137 kB/s
8.213.237.199,443,true,AMS,Europe,Amsterdam,19 ms,4134 kB/s
8.222.154.110,443,true,AMS,Europe,Amsterdam,9 ms,4133 kB/s
8.219.159.213,443,true,AMS,Europe,Amsterdam,17 ms,4132 kB/s
8.219.126.108,443,true,AMS,Europe,Amsterdam,41 ms,4131 kB/s
8.219.182.42,443,true,AMS,Europe,Amsterdam,11 ms,4094 kB/s
8.219.66.102,443,true,AMS,Europe,Amsterdam,29 ms,4058 kB/s
8.219.192.173,443,true,AMS,Europe,Amsterdam,12 ms,4043 kB/s
8.219.208.228,443,true,AMS,Europe,Amsterdam,20 ms,4039 kB/s
8.219.133.246,443,true,AMS,Europe,Amsterdam,13 ms,4017 kB/s
8.222.243.231,443,true,AMS,Europe,Amsterdam,3 ms,4015 kB/s
8.219.172.209,443,true,AMS,Europe,Amsterdam,43 ms,3997 kB/s
8.219.178.222,443,true,AMS,Europe,Amsterdam,23 ms,3976 kB/s
8.219.152.149,443,true,AMS,Europe,Amsterdam,11 ms,3964 kB/s
8.219.187.111,443,true,AMS,Europe,Amsterdam,54 ms,3949 kB/s
47.245.103.231,443,true,AMS,Europe,Amsterdam,3 ms,3946 kB/s
